Entity,Year,Death
Africa,1950,6383318
Africa,1951,6386923
Africa,1952,6395612
Africa,1953,6407259
Africa,1954,6421859
Africa,1955,6439445
Africa,1956,6460064
Africa,1957,6483793
Africa,1958,6510761
Africa,1959,6541237
Africa,1960,6575482
Africa,1961,6613747
Africa,1962,6656203
Africa,1963,6702841
Africa,1964,6753409
Africa,1965,6807605
Africa,1966,6865052
Africa,1967,6925122
Africa,1968,6987165
Africa,1969,7050597
Africa,1970,7114732
Africa,1971,7178963
Africa,1972,7243271
Africa,1973,7307833
Africa,1974,7372853
Africa,1975,7438602
Africa,1976,7505426
Africa,1977,7574084
Africa,1978,7645440
Africa,1979,7720255
Africa,1980,7798004
Africa,1981,7877551
Africa,1982,7959226
Africa,1983,8044682
Africa,1984,8136681
Africa,1985,8240811
Africa,1986,8363469
Africa,1987,8507700
Africa,1988,8673890
Africa,1989,8860132
Africa,1990,9062492
Africa,1991,9275275
Africa,1992,9490621
Africa,1993,9701237
Africa,1994,9902184
Africa,1995,10092137
Africa,1996,10272740
Africa,1997,10445874
Africa,1998,10610578
Africa,1999,10762269
Africa,2000,10892824
Africa,2001,10993241
Africa,2002,11058408
Africa,2003,11086269
Africa,2004,11077650
Africa,2005,11034670
Africa,2006,10961721
Africa,2007,10868545
Africa,2008,10765610
Africa,2009,10661171
Africa,2010,10562294
Africa,2011,10473648
Africa,2012,10396996
Africa,2013,10334880
Africa,2014,10291513
Africa,2015,10271285
Africa,2016,10277131
Africa,2017,10307682
Africa,2018,10360610
Africa,2019,10434126
Asia,1950,33860238
Asia,1951,33688046
Asia,1952,33392388
Asia,1953,33194190
Asia,1954,33093446
Asia,1955,33086703
Asia,1956,33162077
Asia,1957,33303911
Asia,1958,33481760
Asia,1959,33642000
Asia,1960,33724311
Asia,1961,33668575
Asia,1962,33420962
Asia,1963,32956173
Asia,1964,32288187
Asia,1965,31470255
Asia,1966,30584696
Asia,1967,29728097
Asia,1968,28975947
Asia,1969,28362078
Asia,1970,27891093
Asia,1971,27536217
Asia,1972,27239699
Asia,1973,26957918
Asia,1974,26681655
Asia,1975,26413171
Asia,1976,26165597
Asia,1977,25960522
Asia,1978,25813308
Asia,1979,25726447
Asia,1980,25701392
Asia,1981,25735925
Asia,1982,25817886
Asia,1983,25933176
Asia,1984,26070414
Asia,1985,26216688
Asia,1986,26360552
Asia,1987,26495947
Asia,1988,26618332
Asia,1989,26723819
Asia,1990,26811853
Asia,1991,26885804
Asia,1992,26953970
Asia,1993,27023474
Asia,1994,27097280
Asia,1995,27176476
Asia,1996,27260416
Asia,1997,27347793
Asia,1998,27438657
Asia,1999,27535058
Asia,2000,27641037
Asia,2001,27761164
Asia,2002,27897619
Asia,2003,28050756
Asia,2004,28219309
Asia,2005,28397839
Asia,2006,28578783
Asia,2007,28756825
Asia,2008,28930009
Asia,2009,29100189
Asia,2010,29269748
Asia,2011,29442647
Asia,2012,29628105
Asia,2013,29836655
Asia,2014,30077442
Asia,2015,30361962
Asia,2016,30700424
Asia,2017,31095462
Asia,2018,31546806
Asia,2019,32053078
Europe,1950,6445349
Europe,1951,6399292
Europe,1952,6311776
Europe,1953,6233486
Europe,1954,6164399
Europe,1955,6104634
Europe,1956,6054536
Europe,1957,6014454
Europe,1958,5985142
Europe,1959,5967976
Europe,1960,5964393
Europe,1961,5975677
Europe,1962,6002699
Europe,1963,6045261
Europe,1964,6101886
Europe,1965,6170293
Europe,1966,6247660
Europe,1967,6330582
Europe,1968,6415868
Europe,1969,6501218
Europe,1970,6585232
Europe,1971,6667717
Europe,1972,6749738
Europe,1973,6831921
Europe,1974,6913746
Europe,1975,6995529
Europe,1976,7077929
Europe,1977,7160609
Europe,1978,7242350
Europe,1979,7321250
Europe,1980,7392474
Europe,1981,7450369
Europe,1982,7493017
Europe,1983,7521410
Europe,1984,7538848
Europe,1985,7553254
Europe,1986,7574793
Europe,1987,7611427
Europe,1988,7667689
Europe,1989,7743842
Europe,1990,7836412
Europe,1991,7938524
Europe,1992,8040184
Europe,1993,8133056
Europe,1994,8213071
Europe,1995,8278556
Europe,1996,8330618
Europe,1997,8373202
Europe,1998,8409050
Europe,1999,8438033
Europe,2000,8458599
Europe,2001,8468518
Europe,2002,8466465
Europe,2003,8452321
Europe,2004,8427227
Europe,2005,8392227
Europe,2006,8348695
Europe,2007,8299822
Europe,2008,8249512
Europe,2009,8201458
Europe,2010,8159788
Europe,2011,8128004
Europe,2012,8107456
Europe,2013,8098971
Europe,2014,8103259
Europe,2015,8120653
Europe,2016,8150535
Europe,2017,8189959
Europe,2018,8235680
Europe,2019,8285231
Northern America,1950,1666655
Northern America,1951,1675740
Northern America,1952,1694571
Northern America,1953,1714730
Northern America,1954,1736213
Northern America,1955,1759036
Northern America,1956,1783226
Northern America,1957,1808757
Northern America,1958,1835619
Northern America,1959,1863827
Northern America,1960,1893330
Northern America,1961,1923978
Northern America,1962,1955467
Northern America,1963,1987268
Northern America,1964,2018659
Northern America,1965,2048834
Northern America,1966,2077038
Northern America,1967,2102670
Northern America,1968,2125157
Northern America,1969,2143984
Northern America,1970,2158185
Northern America,1971,2166881
Northern America,1972,2170477
Northern America,1973,2170005
Northern America,1974,2166732
Northern America,1975,2162567
Northern America,1976,2159643
Northern America,1977,2159763
Northern America,1978,2164328
Northern America,1979,2174155
Northern America,1980,2189739
Northern America,1981,2210901
Northern America,1982,2236109
Northern America,1983,2263736
Northern America,1984,2292706
Northern America,1985,2321710
Northern America,1986,2349548
Northern America,1987,2375647
Northern America,1988,2399662
Northern America,1989,2421383
Northern America,1990,2441039
Northern America,1991,2459274
Northern America,1992,2477109
Northern America,1993,2495343
Northern America,1994,2514281
Northern America,1995,2534298
Northern America,1996,2555616
Northern America,1997,2577765
Northern America,1998,2600069
Northern America,1999,2621888
Northern America,2000,2641751
Northern America,2001,2657973
Northern America,2002,2669919
Northern America,2003,2677758
Northern America,2004,2682306
Northern America,2005,2684930
Northern America,2006,2687432
Northern America,2007,2692119
Northern America,2008,2701156
Northern America,2009,2716069
Northern America,2010,2738474
Northern America,2011,2769420
Northern America,2012,2808210
Northern America,2013,2853724
Northern America,2014,2905055
Northern America,2015,2961023
Northern America,2016,3020270
Northern America,2017,3081094
Northern America,2018,3141786
Northern America,2019,3200968
Oceania,1950,185407
Oceania,1951,184249
Oceania,1952,182127
Oceania,1953,180411
Oceania,1954,179095
Oceania,1955,178184
Oceania,1956,177674
Oceania,1957,177564
Oceania,1958,177847
Oceania,1959,178512
Oceania,1960,179541
Oceania,1961,180904
Oceania,1962,182552
Oceania,1963,184404
Oceania,1964,186367
Oceania,1965,188342
Oceania,1966,190229
Oceania,1967,191972
Oceania,1968,193513
Oceania,1969,194785
Oceania,1970,195727
Oceania,1971,196306
Oceania,1972,196562
Oceania,1973,196570
Oceania,1974,196393
Oceania,1975,196092
Oceania,1976,195741
Oceania,1977,195416
Oceania,1978,195218
Oceania,1979,195229
Oceania,1980,195559
Oceania,1981,196308
Oceania,1982,197469
Oceania,1983,198989
Oceania,1984,200825
Oceania,1985,202844
Oceania,1986,204902
Oceania,1987,206857
Oceania,1988,208626
Oceania,1989,210190
Oceania,1990,211612
Oceania,1991,213009
Oceania,1992,214525
Oceania,1993,216242
Oceania,1994,218175
Oceania,1995,220266
Oceania,1996,222412
Oceania,1997,224496
Oceania,1998,226446
Oceania,1999,228249
Oceania,2000,229935
Oceania,2001,231544
Oceania,2002,233180
Oceania,2003,234933
Oceania,2004,236862
Oceania,2005,239044
Oceania,2006,241523
Oceania,2007,244294
Oceania,2008,247322
Oceania,2009,250579
Oceania,2010,253986
Oceania,2011,257466
Oceania,2012,260937
Oceania,2013,264354
Oceania,2014,267721
Oceania,2015,271059
Oceania,2016,274408
Oceania,2017,277871
Oceania,2018,281523
Oceania,2019,285413
South America,1950,1788963
South America,1951,1794677
South America,1952,1806150
South America,1953,1817717
South America,1954,1829376
South America,1955,1841115
South America,1956,1852902
South America,1957,1864660
South America,1958,1876268
South America,1959,1887521
South America,1960,1898164
South America,1961,1907918
South America,1962,1916478
South America,1963,1923595
South America,1964,1929109
South America,1965,1932687
South America,1966,1934017
South America,1967,1933340
South America,1968,1931138
South America,1969,1927999
South America,1970,1924868
South America,1971,1922797
South America,1972,1922501
South America,1973,1924426
South America,1974,1928702
South America,1975,1935097
South America,1976,1943023
South America,1977,1951533
South America,1978,1959844
South America,1979,1967585
South America,1980,1974536
South America,1981,1980688
South America,1982,1986377
South America,1983,1991907
South America,1984,1997388
South America,1985,2002922
South America,1986,2008589
South America,1987,2014465
South America,1988,2020640
South America,1989,2027211
South America,1990,2034212
South America,1991,2041615
South America,1992,2049423
South America,1993,2057700
South America,1994,2066586
South America,1995,2076228
South America,1996,2086785
South America,1997,2098384
South America,1998,2111152
South America,1999,2125207
South America,2000,2140576
South America,2001,2157212
South America,2002,2175066
South America,2003,2194137
South America,2004,2214525
South America,2005,2236289
South America,2006,2259475
South America,2007,2284214
South America,2008,2310671
South America,2009,2339054
South America,2010,2369638
South America,2011,2402686
South America,2012,2438296
South America,2013,2476489
South America,2014,2517230
South America,2015,2560502
South America,2016,2606253
South America,2017,2654183
South America,2018,2703918
South America,2019,2755101
